Cruise_no,Ship_code,Year,Season,YearSeason,Line,Station,Species,Larval_ID,SL_mm,Phe_d15N,TP_Glu_Phe,TP_Trp_Scr,Energy,Season_Index
9103,JD,1991,Spring,1991Spring,83.3,55,Anchovy,C23,20,2.36,3.19,2.65,2.23,129
9103,JD,1991,Spring,1991Spring,80,55,Anchovy,C30,21,6.94,2.91,2.53,2.96,129
9103,JD,1991,Spring,1991Spring,80,55,Anchovy,C34,20,4.36,2.99,2.83,1.49,129
9103,JD,1991,Spring,1991Spring,80,55,Anchovy,C36,18,2.65,3.13,2.57,2.69,129
9103,JD,1991,Spring,1991Spring,83.3,55,Anchovy,C5,21,2.59,3.46,2.81,1.56,129
9103,JD,1991,Spring,1991Spring,80,55,Anchovy,C59,19,4.34,3.32,2.84,1.45,129
8401,JD,1984,Winter,1984Winter,76.7,60,Anchovy,E1,22.83,1.14,3.14,2.45,3.52,103
8401,JD,1984,Winter,1984Winter,83.3,40.6,Anchovy,E12,19.67,-0.41,3.08,2.61,2.46,103
8401,JD,1984,Winter,1984Winter,76.7,60,Anchovy,E2,19.67,3.35,2.78,2.28,5.23,103
8402,NH,1984,Winter,1984Winter,76.7,70,Anchovy,E20,21,1.17,3.19,2.37,4.27,103
8402,NH,1984,Winter,1984Winter,76.7,70,Anchovy,E22,18,3.54,2.44,2.23,5.92,103
8402,NH,1984,Winter,1984Winter,76.7,70,Anchovy,E23,18,0.06,2.98,2.74,1.81,103
8402,NH,1984,Winter,1984Winter,80,70,Anchovy,E26,18.17,2.78,2.86,2.34,4.53,103
8402,NH,1984,Winter,1984Winter,80,70,Anchovy,E27,20.5,6.35,2.43,2.08,8.36,103
8401,JD,1984,Winter,1984Winter,76.7,60,Anchovy,E3,19,1.57,2.98,2.48,3.33,103
8403,JD,1984,Spring,1984Spring,80,60,Anchovy,E37,20,-1.45,3.65,2.83,1.48,101
8401,JD,1984,Winter,1984Winter,76.7,60,Anchovy,E4,19.5,-4.01,4.03,3.42,0.38,103
8403,JD,1984,Spring,1984Spring,80,60,Anchovy,E44,18.17,2.40,3.07,2.54,2.86,101
8403,JD,1984,Spring,1984Spring,80,60,Anchovy,E49,19,4.74,2.66,2.38,4.13,101
8403,JD,1984,Spring,1984Spring,80,60,Anchovy,E55,20.5,6.21,2.53,2.33,4.73,101
8403,JD,1984,Spring,1984Spring,83.3,42,Anchovy,E58,20.67,0.69,3.44,2.84,1.44,101
